time_s,flow_rate_ml_s,pump_flow_command_ml_s,pressure_drop_bar,puck_pressure_drop_bar,viscous_puck_pressure_drop_bar,forchheimer_puck_pressure_drop_bar,forchheimer_fraction_of_puck_pressure,basket_sieve_pressure_drop_bar,pressure_setpoint_bar,controller_saturated,puck_outlet_fines_mg_s,cup_fines_mg_s,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,minimum_K_over_K0,maximum_pressure_gradient_MPa_m,maximum_deposit_kg_m3,minimum_hydraulic_diameter_um,maximum_fine_to_hydraulic_diameter_ratio,mean_washout_escape_probability,blockage_position_mm_from_inlet,relative_mass_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,0.16666666666666666,0.9644288107273639,0.25,0.0
0.25,5.321588728487283,10.833333333333334,0.45710019878564795,0.40388431150077514,0.40388431150077514,0.0,0.0,0.05321588728487283,1.125,1,0.18912293065748942,0.12292990492736812,4.7280732664372356e-05,1.6548256432530322e-05,3.073247623184203e-05,0.9942044340127025,2.0259081123080964,0.012681655530553101,149.98780649694834,0.16668021610482486,0.9644250604781615,19.75,0.0
0.5,8.805675808222857,10.833333333333334,0.7802220874743009,0.6921653293920723,0.6921653293920723,0.0,0.0,0.08805675808222856,2.25,1,2.2544616923278356,1.465400100013093,0.0006108961557463312,0.00021381365451121588,0.00039708250123511525,0.9271786006650291,3.594623625059594,0.16496523653950823,149.8414466463825,0.16684302347266183,0.9643745907005741,19.75,0.0
0.75,10.08739981610862,10.833333333333334,0.9570584642377507,0.8561844660766644,0.8561844660766644,0.0,0.0,0.1008739981610862,3.375,1,4.6292701754909285,3.0090256140691034,0.0017682136996190635,0.0006188747948666721,0.001149338904752391,0.8054064924084517,4.740435479110905,0.4721632789071744,149.54654583286208,0.1671720323646979,0.9642642382869354,19.75,-1.4655693482422263e-16
1.0,10.558919727865655,10.833333333333334,1.0951776009720848,0.9895884036934283,0.9895884036934283,0.0,0.0,0.10558919727865655,4.5,1,6.007527356829265,3.9048927819390222,0.0032700955388263796,0.0011445334385892327,0.002125562100237146,0.6747266165173325,5.923055161919465,0.8584313077445758,149.17639811599526,0.16758683220492243,0.9641222497090599,19.75,-1.4655693482422263e-16
1.25,10.732382209504046,10.833333333333334,1.2266590137258109,1.1193351916307703,1.1193351916307703,0.0,0.0,0.10732382209504045,5.625,1,6.715996169214661,4.3653975099895295,0.004949094581130045,0.0017321831033955157,0.0032169114777345284,0.5577939699057783,7.282432153524922,1.2736704312924672,148.77930347010525,0.16803412448441352,0.9639700025894562,19.75,1.4655693482422263e-16
1.5,10.796195490313385,10.833333333333334,1.3621711818061215,1.2542092269029876,1.2542092269029876,0.0,0.0,0.10796195490313384,6.75,1,7.063691825861228,4.5913996868097975,0.006715017537595351,0.002350256138158373,0.004364761399436979,0.46030738838387664,8.877218827660409,1.6927871499313718,148.3793544276288,0.16848705196512773,0.9638175359384384,19.75,0.0
1.75,10.819671084396841,10.833333333333334,1.505523525158287,1.3973268143143187,1.3973268143143187,0.0,0.0,0.10819671084396841,7.875,1,7.233523968873947,4.701790579768066,0.008523398529813838,0.002983189485434843,0.005540209044378997,0.3812186417113852,10.742220443900132,2.1041066306010783,147.98767732055725,0.1689329845068607,0.9636690027150028,19.75,0.0
2.0,10.82830727282943,10.833333333333334,1.6580934530601443,1.54981038033185,1.54981038033185,0.0,0.0,0.10828307272829432,9.0,1,7.309683805578733,4.751294473626176,0.01035081948120852,0.0036227868184229824,0.006728032662785541,0.3176366714885921,12.90280299263855,2.5022118368507336,147.60936522006392,0.16936594749749562,0.96352594449084,19.75,2.9311386964844526e-16
2.25,10.831484349003865,10.833333333333334,1.8202990331944247,1.711984189704386,1.711984189704386,0.0,0.0,0.10831484349003866,9.0,1,7.324305684075013,4.760798694648758,0.012181895902227274,0.004263663565779545,0.007918232336447728,0.26661753460829196,15.37635509333283,2.884232950203186,147.2470583810288,0.16978267868216362,0.9633888214449889,19.75,1.4655693482422263e-16
