n_cells,max_time_step_s,final_flow_ml_s,outlet_fines_g,minimum_K_over_K0,maximum_deposit_kg_m3,final_flow_ml_s_relative_to_finest,outlet_fines_g_relative_to_finest,minimum_K_over_K0_relative_to_finest,maximum_deposit_kg_m3_relative_to_finest
20,0.01,0.30530109368225206,0.015461743946199126,0.10390324935242753,7.410420351888957,0.008654141347133671,0.12702146382285834,0.2037311424389675,0.07569270492541941
40,0.01,0.30370239084229794,0.014449934885164863,0.093758580900398,7.746650472161291,0.0033723448725313876,0.05326972320136211,0.08620398692137385,0.033754469544169774
80,0.01,0.30299381302186673,0.013956127771434543,0.08882074477660905,7.923714689185945,0.0010313445687836567,0.017275645295338198,0.028998585208631262,0.011669116794802722
160,0.01,0.302681643952306,0.01371912110152088,0.08631765490581358,8.017269139146007,0.0,0.0,0.0,0.0
