case,control_mode,hydraulic_model,permeability_model,washout_escape_model,duration_s,initial_flow_rate_ml_s,final_flow_rate_ml_s,maximum_flow_rate_ml_s,pump_flow_cap_ml_s,initial_pressure_drop_bar,final_pressure_drop_bar,maximum_pressure_drop_bar,final_puck_pressure_drop_bar,final_forchheimer_pressure_drop_bar,maximum_forchheimer_fraction_of_puck_pressure,final_basket_sieve_pressure_drop_bar,controller_saturated_fraction,final_effective_permeability_m2,minimum_local_permeability_ratio,maximum_deposit_kg_m3,maximum_pressure_gradient_MPa_m,final_minimum_hydraulic_diameter_um,final_maximum_fine_to_hydraulic_diameter_ratio,final_mean_washout_escape_probability,final_blockage_position_mm_from_inlet,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,maximum_relative_mass_balance_error
forchheimer_exponential,pi,darcy_forchheimer,exponential,logistic,60.0,0.0,0.05212429709011609,1.0595139897824228,10.833333333333334,0.0,8.990469924295304,9.410576525513322,8.989948681324403,7.768715598781325e-09,3.568127163817193e-07,0.0005212429709011609,0.0,4.3890156194897095e-16,0.014551058843552378,13.843935868122665,138.37323290618124,168.269724268257,0.14857099284328054,0.9757532085686599,19.75,0.05722533671295699,0.020028867849534948,0.037196468863422004,1.7586832178906714e-15
darcy_exponential,pi,darcy,exponential,logistic,60.0,0.0,0.05212429641747024,1.0595143189157998,10.833333333333334,0.0,8.990469924483994,9.410576704602084,8.98994868151982,0.0,0.0,0.0005212429641747024,0.0,4.389015558962798e-16,0.014551058653187319,13.843935910938306,138.3732328433032,168.26972422377457,0.14857099288255557,0.9757532085529625,19.75,0.05722533711471221,0.0200288679901493,0.03719646912456291,7.327846741211131e-16
darcy_kozeny_carman,pi,darcy,kozeny_carman,logistic,60.0,0.0,0.9326226651692834,1.1882716990800604,10.833333333333334,0.0,9.000574376484021,9.133092683713881,8.991248149832328,0.0,0.0,0.009326226651692833,0.0,7.851815913356986e-15,0.760010739961132,17.999999964957215,49.58838064673719,164.0096618711877,0.15243004414968472,0.9731871541794753,19.75,0.5105878569757872,0.17870574994152516,0.33188210703426135,7.327846741211131e-16
