time_s,flow_rate_ml_s,pump_flow_command_ml_s,pressure_drop_bar,puck_pressure_drop_bar,viscous_puck_pressure_drop_bar,forchheimer_puck_pressure_drop_bar,forchheimer_fraction_of_puck_pressure,basket_sieve_pressure_drop_bar,pressure_setpoint_bar,controller_saturated,puck_outlet_fines_mg_s,cup_fines_mg_s,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,minimum_K_over_K0,maximum_pressure_gradient_MPa_m,maximum_deposit_kg_m3,minimum_hydraulic_diameter_um,maximum_fine_to_hydraulic_diameter_ratio,mean_washout_escape_probability,blockage_position_mm_from_inlet,relative_mass_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.37499999999999,0.29629629629629634,0.724454595424802,0.25,0.0
0.25,0.07740872816253837,0.172015916770296,0.586751869031749,0.5859777817501237,0.5859777817501237,0.0,0.0,0.0007740872816253836,1.125,0,0.0010298504447199405,0.0006694027890679614,2.5746261117998516e-07,9.01119139129948e-08,1.6735069726699036e-07,0.999945003769574,2.9300022153016636,0.00017999261271541572,84.37489859194626,0.29629665240731085,0.7244542155923324,19.75,0.0
0.5,0.20697849620405936,0.3285396736807314,1.5695404846047853,1.5674706996427448,1.5674706996427448,0.0,0.0,0.0020697849620405937,2.25,0,0.026066587590566594,0.016943281933868286,6.774109508821634e-06,2.3709383280875715e-06,4.403171180734061e-06,0.9985456626242153,7.8453338489490845,0.004763114020998727,84.37231648541636,0.29630572018632695,0.7244444131490752,19.75,-1.4655693482422263e-16
0.75,0.3510188182733173,0.47963537092263275,2.667679068181749,2.6641688799990155,2.6641688799990155,0.0,0.0,0.0035101881827331732,3.375,0,0.13125390210499105,0.08531503636824418,3.958758503506939e-05,1.3855654762274285e-05,2.5731930272795105e-05,0.9914787852179868,13.399886053003748,0.028007109506508247,84.35922181637193,0.29635171427278567,0.7243931507397888,19.75,-1.4655693482422263e-16
1.0,0.49754681843196047,0.6261262065118326,3.8048813628747524,3.799905894690433,3.799905894690433,0.0,0.0,0.004975468184319604,4.5,0,0.3508547949877924,0.22805561674206504,0.0001273012837820175,4.4555449323706114e-05,8.274583445831136e-05,0.9727147242669325,19.359877056435582,0.09053814010925665,84.32400178051883,0.296475493004599,0.7242482267631144,19.75,0.0
1.25,0.6408501296058384,0.7649949860988617,4.964239815831725,4.957831314535666,4.957831314535666,0.0,0.0,0.006408501296058385,5.625,0,0.6755432323715724,0.4391031010415221,0.00029618709187491057,0.00010366548215621871,0.00019252160971869187,0.9374499996154259,25.873935713275003,0.2113915297202563,84.25596219664699,0.2967149071498573,0.7239489780773749,19.75,0.0
1.5,0.7760598762790131,0.891432745695368,6.145165176921564,6.137404578158774,6.137404578158774,0.0,0.0,0.007760598762790131,6.75,0,1.065831450751575,0.6927904429885237,0.0005626449545628043,0.00019692573409698147,0.00036571922046582276,0.8844052062941213,33.212232628714105,0.40202163231349,84.14871910995024,0.2970930545874923,0.723438742442913,19.75,1.4655693482422263e-16
1.75,0.898132780287188,1.0002880535581684,7.349620044846712,7.34063871704384,7.34063871704384,0.0,0.0,0.008981327802871879,7.875,0,1.4737782898294407,0.9579558883891365,0.0009310895270201646,0.0003258813344570575,0.0006052081925631068,0.8163061272740395,41.64296297563506,0.6642518347582342,84.00135617745961,0.2976142426461008,0.722675762162364,19.75,0.0
2.0,1.002355884741952,1.0874303330569375,8.57717148195753,8.56714792311011,8.56714792311011,0.0,0.0,0.010023558847419522,9.0,0,1.8598841853342,1.20892472046723,0.0013960605733537147,0.0004886212006738,0.0009074393726799144,0.7385849474122922,51.3659853513671,0.9916990581686347,83.81760409192016,0.2982666979192495,0.7216405969216956,19.75,0.0
2.25,1.0185471829237904,1.004864430198474,9.209243330550434,9.199057858721197,9.199057858721197,0.0,0.0,0.010185471829237904,9.0,0,2.1604822609971124,1.404313469648123,0.0019361811386029927,0.0006776633985110473,0.0012585177400919448,0.6588300138207478,58.51428567809209,1.365675458390546,83.60809413212105,0.29901411172576114,0.720364313749559,19.75,-1.4655693482422263e-16
