case,control_mode,hydraulic_model,permeability_model,washout_escape_model,duration_s,initial_flow_rate_ml_s,final_flow_rate_ml_s,maximum_flow_rate_ml_s,pump_flow_cap_ml_s,initial_pressure_drop_bar,final_pressure_drop_bar,maximum_pressure_drop_bar,final_puck_pressure_drop_bar,final_forchheimer_pressure_drop_bar,maximum_forchheimer_fraction_of_puck_pressure,final_basket_sieve_pressure_drop_bar,controller_saturated_fraction,final_effective_permeability_m2,minimum_local_permeability_ratio,maximum_deposit_kg_m3,maximum_pressure_gradient_MPa_m,final_minimum_hydraulic_diameter_um,final_maximum_fine_to_hydraulic_diameter_ratio,final_mean_washout_escape_probability,final_blockage_position_mm_from_inlet,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,maximum_relative_mass_balance_error
fine_puck_constant,constant,darcy,exponential,logistic,60.0,1.1873671805542036,0.051376904754153865,1.1873671805542036,10.833333333333334,9.0,9.000000000000002,9.000000000000004,8.99948623095246,0.0,0.0,0.0005137690475415386,0.0,4.3214983011663305e-16,0.014344149204907614,13.890806642715184,138.56224741217088,168.22103629139096,0.14861399353583357,0.975734584541007,19.75,0.057702540472886484,0.020195889165510277,0.03750665130737621,1.0258985437695583e-15
fine_puck_pi,pi,darcy,exponential,logistic,60.0,0.0,0.05212429641747024,1.0595143189157998,10.833333333333334,0.0,8.990469924483994,9.410576704602084,8.98994868151982,0.0,0.0,0.0005212429641747024,0.0,4.389015558962798e-16,0.014551058653187319,13.843935910938306,138.3732328433032,168.26972422377457,0.14857099288255557,0.9757532085529625,19.75,0.05722533711471221,0.0200288679901493,0.03719646912456291,7.327846741211131e-16
coarse_puck_constant,constant,darcy,exponential,logistic,20.0,105.02001318953214,7.431944197365794,105.02001318953214,10.833333333333334,8.999999999999998,9.000000000000002,9.000000000000004,8.925680558026345,0.0,0.0,0.07431944197365795,0.0,6.302969818029295e-14,0.020780811964899105,8.451764115772269,146.0639914057828,142.04568324487653,0.1759997166327244,0.9606166436844747,19.75,0.07919116167534576,0.027716906586371055,0.05147425508897484,8.793416089453357e-16
coarse_puck_pi,pi,darcy,exponential,logistic,20.0,0.0,7.776350195658123,10.833333333333323,10.833333333333334,0.0,9.02216648500814,9.134853784300702,8.944402983051559,0.0,0.0,0.07776350195658123,0.5061728395061729,6.58125289420562e-14,0.021699546421491158,8.35737582739551,144.64343816177845,142.13265242355834,0.17589202462428877,0.9606778096248588,19.75,0.07681547619466476,0.026885416668132666,0.04993005952653216,1.6121262830664488e-15
